CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Customer_Segment
AA-10315,2.1972245773362196,3.7612001156935624,9.528678678251708,1,1.07557583267546,-0.11509983499083236,Champions
AA-10375,1.9459101490553132,3.7612001156935624,8.680195154234632,1,0.37149922120699036,-0.5290663779515955,Champions
AA-10480,4.836281906951478,3.6635616461296463,9.781127232202486,1,0.9061670173230615,0.8526712552410842,Champions
AA-10645,3.367295829986474,4.30406509320417,9.638537844187153,1,2.0521715564632106,0.50200379411263,Champions
AA-315,1.0986122886681098,2.1972245773362196,7.716129342132166,2,-0.933372981051707,-1.1766261887328207,Loyal Customers
AA-375,5.537334267018537,2.6390573296152584,6.485386098705177,0,-1.811134341074139,0.5613806991363408,Lost Customers
AA-480,5.752572638825633,2.3978952727983707,7.632639954668907,0,-1.9848086798870903,1.0212250418643343,Lost Customers
AA-645,3.9512437185814275,2.9444389791664403,7.585445615635437,2,-0.8388858202751095,-0.7202520436659021,Loyal Customers
AB-10015,2.833213344056216,4.356708826689592,9.905410577338131,1,2.635104224011241,0.7079589201235811,Champions
AB-10060,3.7612001156935624,4.060443010546419,9.821059315080984,1,1.8152657152243317,0.5517705317862021,Champions
AB-10105,3.332204510175204,4.143134726391533,10.041847643210964,1,2.424852765715066,0.742233072847896,Champions
AB-10150,3.58351893845611,3.871201010907891,9.477178812374303,1,1.0640808579877148,0.10245465562888967,Champions
AB-10165,2.6390573296152584,3.970291913552122,9.363084205516259,1,1.1593826171605703,-0.05910771230120797,Champions
AB-10255,1.791759469228055,3.9889840465642745,9.286163395445405,1,1.1385233079032566,-0.14614183691371554,Champions
AB-105,3.784189633918261,2.772588722239781,7.676659071941328,2,-0.8811626042190335,-0.8049477591879663,Loyal Customers
AB-10600,3.9318256327243257,3.6635616461296463,9.49699665098172,1,0.7731882155469103,0.10564217379096152,Champions
AB-15,6.023447592961033,2.5649493574615367,8.435577413783337,0,-2.0400066837547652,1.86136278057047,Lost Customers
AB-150,5.988961416889864,2.1972245773362196,8.053531012603727,0,-2.23969603902059,1.6379411817474765,Lost Customers
AB-165,2.833213344056216,2.1972245773362196,7.2447816477580504,2,-1.0587129695856847,-1.1216467110753672,Loyal Customers
AB-255,3.784189633918261,2.772588722239781,8.451160648116483,2,-0.6529937613499387,-0.6766036464004962,Loyal Customers
AB-60,3.58351893845611,2.4849066497880004,7.4794283703208375,2,-1.0044765677149643,-0.931630167858652,Loyal Customers
AB-600,2.0794415416798357,3.295836866004329,8.59592118908334,2,-0.1407284184562876,-0.7506868071880812,Loyal Customers
AC-10420,1.9459101490553132,3.713572066704308,9.269429198592087,1,0.740440439040136,-0.3143455067799212,Champions
AC-10450,1.791759469228055,3.4011973816621555,9.6882743725377,1,0.9228354771881061,-0.18115148096945666,Champions
AC-10615,1.9459101490553132,4.189654742026425,9.451773601165376,1,1.6600109845391862,0.11299909278047517,Champions
AC-10660,1.0986122886681098,3.58351893845611,8.741395235129659,2,0.21535766100395784,-0.627572728803522,Loyal Customers
AC-420,2.6390573296152584,3.091042453358316,7.432883136458886,2,-0.6435943284947396,-0.9617865905052867,Loyal Customers
AC-450,5.204006687076795,2.3978952727983707,6.934978345807567,2,-1.6124832720798303,0.03857057171918628,Loyal Customers
AC-615,4.532599493153256,2.9444389791664403,7.740417414896719,2,-0.9527166036717404,-0.4167962388871263,Loyal Customers
AC-660,4.787491742782046,2.1972245773362196,7.892485662678793,2,-1.3042534063161446,-0.33656777628252516,Loyal Customers
AD-10180,3.4011973816621555,3.871201010907891,9.790291127282378,1,1.5192900857239107,0.30472980724241433,Champions
AD-180,1.791759469228055,2.1972245773362196,6.525451856095265,2,-1.085138070122911,-1.2351043181318844,Loyal Customers
AF-10870,1.9459101490553132,4.406719247264253,10.184456838315675,1,3.36984027722326,1.0172289843851103,Champions
AF-10885,3.9889840465642745,4.2626798770413155,9.888991352498538,1,2.272180366116965,0.8606234981472017,Champions
AF-870,1.791759469228055,2.8903717578961645,7.43901979817104,2,-0.7310449097190924,-1.068295982030751,Loyal Customers
